FakeName,FakeCompany,FakePosition,FakeEmail,Size,w1,w2,penalty
Beth Cross,"Wheeler, Erickson and Rodriguez","Education officer, environmental",jennifer93@wade.com,0,1.0,0.0,1.0
Caleb Black,"Hubbard, Baldwin and Montoya",Private music teacher,jennifer93@wade.com,0,0.0,1.0,1.0
Jordan Williams,"Mcguire, Miller and Rose",Clinical embryologist,jennifer93@wade.com,"10,001+ employees",0.0,1.0,1.0
Christopher Hodges,"Russell, Pennington and Ferrell",Neurosurgeon,jennifer93@wade.com,2-10 employees,0.0,0.0,0.0
Edward Phillips,"Tran, Adams and Miller",Outdoor activities/education manager,jennifer93@wade.com,0,0.0,1.0,1.0
Christy Jones,Brown-Hamilton,Editorial assistant,jennifer93@wade.com,0,1.0,0.0,1.0
Debbie Cuevas,Moore PLC,Editorial assistant,jennifer93@wade.com,0,1.0,1.0,2.0
Maurice Avery,Wilson-Thomas,Editorial assistant,jennifer93@wade.com,1001-5000 Employees,0.0,1.0,1.0
Katie Guerrero,Mitchell Inc,Barrister's clerk,jennifer93@wade.com,0,1.0,0.0,1.0
Nicole Juarez,"Wright, Mccarty and Nunez",Film/video editor,jennifer93@wade.com,2-10 employees,0.0,1.0,1.0
Gregory Green,Tran-Lane,Chartered accountant,jennifer93@wade.com,11-50 employees,0.0,1.0,1.0
Robert Long DDS,Davis-Turner,Astronomer,jennifer93@wade.com,11-50 employees,0.0,1.0,1.0
Danielle Sanchez,Booth Ltd,Editorial assistant,jennifer93@wade.com,51-200 employees,0.0,1.0,1.0
Melissa Gutierrez,"Berry, Orr and Wright",Occupational psychologist,jennifer93@wade.com,11-50 employees,0.0,1.0,1.0
Michelle Bowman,Marshall-Wilson,"Producer, television/film/video",jennifer93@wade.com,51-200 employees,0.0,1.0,1.0
Beverly Garcia MD,"Berg, Gill and Reed",Astronomer,jennifer93@wade.com,0,1.0,0.0,1.0
Andrew Little,"Walton, Marshall and Daniels","Embryologist, clinical",jennifer93@wade.com,0,0.0,0.0,0.0
Mr. Ryan Ramirez II,"Ramos, Larson and Johnson",Barrister's clerk,jennifer93@wade.com,0,0.0,0.0,0.0
Tina Johnson,Martinez-Curtis,Homeopath,jennifer93@wade.com,0,1.0,1.0,2.0
Brittany Larson,Meyer and Sons,Ambulance person,jennifer93@wade.com,0,0.0,0.0,0.0
Cameron Campbell,Ramirez LLC,Astronomer,jennifer93@wade.com,0,0.0,0.0,0.0
Ruben Obrien,Pineda-Flores,Chartered certified accountant,jennifer93@wade.com,0,0.0,1.0,1.0
Jeffery Brown,Johnson-Warren,Bookseller,jennifer93@wade.com,51-200 employees,0.0,1.0,1.0
Alisha Richmond,"Rogers, Allen and Arellano",Astronomer,jennifer93@wade.com,0,1.0,1.0,2.0
Scott Williams,Walters Ltd,Electrical engineer,jennifer93@wade.com,0,0.0,1.0,1.0
Lauren Davis,"Cook, Jones and Smith",Tax adviser,jennifer93@wade.com,11-50 employees,0.0,1.0,1.0
Monica Heath,"Johnson, Flores and Vega",Electrical engineer,jennifer93@wade.com,0,0.0,0.0,0.0
Angel Mclaughlin,Rogers-Owens,"Education officer, environmental",jennifer93@wade.com,51-200 employees,0.0,1.0,1.0
Michael Cummings,"Jacobs, Lynn and Garcia",Astronomer,jennifer93@wade.com,0,1.0,1.0,2.0
Janet Aguilar,"Michael, Simpson and Munoz",Radiation protection practitioner,jennifer93@wade.com,11-50 employees,0.0,1.0,1.0
Karl Boyle,"Mckee, Munoz and Williams",Environmental health practitioner,jennifer93@wade.com,11-50 employees,0.0,1.0,1.0
David Cantu,"Morales, Moore and Morales",Legal executive,jennifer93@wade.com,51-200 employees,0.0,1.0,1.0
Eduardo Contreras,Callahan Group,Aeronautical engineer,jennifer93@wade.com,-,0.0,1.0,1.0
Kelsey Fox,"Williams, Ponce and Mcdaniel",Tax adviser,jennifer93@wade.com,0,0.0,1.0,1.0
April Powers,"Walker, Jenkins and May","Physicist, medical",jennifer93@wade.com,0,0.0,1.0,1.0
Cody Cardenas,King Group,Ambulance person,jennifer93@wade.com,0,0.0,1.0,1.0
Kayla Barker,"Terry, Rodriguez and Allen",Neurosurgeon,jennifer93@wade.com,11-50 employees,0.0,1.0,1.0
Brian Montgomery,Bowman-Martinez,Editorial assistant,jennifer93@wade.com,0,1.0,1.0,2.0
Cameron Santos,"Washington, Boone and Waters","Engineer, civil (contracting)",jennifer93@wade.com,0,1.0,1.0,2.0
Joel Jones,"Torres, Fields and Ball",Editorial assistant,jennifer93@wade.com,0,1.0,1.0,2.0
Gail Fry,"Skinner, Todd and Ford",Editorial assistant,jennifer93@wade.com,0,1.0,0.0,1.0
Blake Singh,"Evans, Turner and Hampton",Personal assistant,jennifer93@wade.com,0,0.0,0.0,0.0
Brandy Herrera,"Williams, Michael and Jensen",Aeronautical engineer,jennifer93@wade.com,0,1.0,1.0,2.0
Tracey Armstrong,Lopez Inc,Mining engineer,jennifer93@wade.com,0,1.0,0.0,1.0
Sean Obrien,"Collins, Beltran and Lee",Editorial assistant,jennifer93@wade.com,0,0.0,0.0,0.0
Robert Burnett,"Howell, Peterson and Washington",Games developer,jennifer93@wade.com,11-50 employees,0.0,1.0,1.0
Jason Dixon,Ellis-Bautista,Print production planner,jennifer93@wade.com,0,1.0,1.0,2.0
Mariah Taylor,"Webb, Rivera and Roberts","Engineer, technical sales",jennifer93@wade.com,0,0.0,0.0,0.0
Kimberly Martinez,"Ortega, Singh and Patton",Editorial assistant,jennifer93@wade.com,0,1.0,1.0,2.0
William Murphy,"Oconnor, Davis and Mills",Tax adviser,jennifer93@wade.com,"1,001-5,000 employees",0.0,1.0,1.0
Cheryl Martin,"Hughes, Barrett and Davis",Human resources officer,jennifer93@wade.com,"501-1,000 employees",0.0,1.0,1.0
Jared Cruz,Crawford LLC,"Psychotherapist, dance movement",jennifer93@wade.com,0,0.0,1.0,1.0
Dr. Christopher Strickland,"Joseph, James and Duncan",Astronomer,jennifer93@wade.com,0,0.0,1.0,1.0
Lisa Thompson,Harmon and Sons,Personnel officer,jennifer93@wade.com,0,1.0,1.0,2.0
Jason Lane,Warner PLC,Field trials officer,jennifer93@wade.com,0,0.0,1.0,1.0
Catherine Gutierrez,Hill Ltd,Trade mark attorney,jennifer93@wade.com,0,1.0,0.0,1.0
Daniel Bryan,"Santos, Hurst and Anderson",Astronomer,jennifer93@wade.com,0,1.0,1.0,2.0
Joy Evans,Case and Sons,Private music teacher,jennifer93@wade.com,0,1.0,0.0,1.0
Sarah Jones,Johnson and Sons,Astronomer,jennifer93@wade.com,0,0.0,1.0,1.0
Kimberly Peters,Baker-Davis,Musician,jennifer93@wade.com,0,1.0,1.0,2.0
Stacy Lindsey,Cohen LLC,Government social research officer,jennifer93@wade.com,0,0.0,1.0,1.0
Marc Byrd,"Young, Ramirez and Jennings",Furniture designer,jennifer93@wade.com,0,1.0,1.0,2.0
Ms. Mary Miller,"Brown, Holden and Alexander","Designer, furniture",jennifer93@wade.com,0,1.0,0.0,1.0
Randy Smith,"Castaneda, Wong and Wagner",Astronomer,jennifer93@wade.com,0,0.0,1.0,1.0
Stephanie Joseph,"Armstrong, Perez and Underwood",Press photographer,jennifer93@wade.com,0,1.0,0.0,1.0
Steve Neal,Murphy LLC,Astronomer,jennifer93@wade.com,0,0.0,1.0,1.0
Tony Sloan,"Santiago, Webb and Pearson",Financial adviser,jennifer93@wade.com,0,0.0,1.0,1.0
Stephen Coleman,Hughes-Jackson,Magazine journalist,jennifer93@wade.com,0,0.0,0.0,0.0
Timothy Hunt,Atkinson-Hale,Barrister's clerk,jennifer93@wade.com,0,1.0,1.0,2.0
Robert Watkins,"Boyle, Kim and Berry","Engineer, civil (contracting)",jennifer93@wade.com,0,1.0,1.0,2.0
Laurie Proctor MD,Alexander-Castro,Astronomer,jennifer93@wade.com,0,0.0,0.0,0.0
Anthony Parker,"Lee, Estrada and Duncan","Restaurant manager, fast food",jennifer93@wade.com,0,1.0,1.0,2.0
Randall Gill,Bell LLC,Amenity horticulturist,jennifer93@wade.com,0,0.0,1.0,1.0
Ashley Hernandez,"Meyers, Campos and Bernard","Journalist, newspaper",jennifer93@wade.com,0,0.0,1.0,1.0
Tanya Randall,"Smith, Woods and Johnson",Hotel manager,jennifer93@wade.com,11-50 employees,0.0,1.0,1.0
Kaitlyn Hardy,Foster-Torres,Product manager,jennifer93@wade.com,0,0.0,0.0,0.0
Angela Aguilar,Conway and Sons,Electrical engineer,jennifer93@wade.com,51-200 employees,0.0,1.0,1.0
Michelle Bell,Larson-Fox,Higher education careers adviser,jennifer93@wade.com,2-10 employees,0.0,1.0,1.0
Ian Martin,Barker-Palmer,Fine artist,jennifer93@wade.com,51-200 employees,0.0,1.0,1.0
Kim Hughes,"Hayden, Knox and Aguirre",Editorial assistant,jennifer93@wade.com,0,1.0,1.0,2.0
Michael Collins,Mccoy Inc,Environmental education officer,jennifer93@wade.com,"5,001-10,000 employees",0.0,0.0,0.0
Randall Ellison,Vang-Parks,Neurosurgeon,jennifer93@wade.com,11-50 employees,0.0,1.0,1.0
Mark Jackson,"Wilson, Williams and Elliott",Astronomer,jennifer93@wade.com,0,1.0,1.0,2.0
Ryan Castaneda,Weaver-Wilson,IT trainer,jennifer93@wade.com,2-10 employees,0.0,1.0,1.0
Douglas Sims,"Blackburn, Christian and Williams","Research officer, government",jennifer93@wade.com,0,0.0,1.0,1.0
Kyle Hansen,Garcia and Sons,Editorial assistant,jennifer93@wade.com,0,1.0,1.0,2.0
Jennifer Sexton,"Phillips, Dillon and Lopez",Museum/gallery exhibitions officer,jennifer93@wade.com,0,1.0,1.0,2.0
Lisa Lopez,"English, Garza and Glover",Ambulance person,jennifer93@wade.com,0,1.0,1.0,2.0
Brian Bray,Russo LLC,Corporate investment banker,jennifer93@wade.com,0,1.0,0.0,1.0
Tina Smith,Kirby-Martinez,Land,jennifer93@wade.com,11-50 employees,0.0,1.0,1.0
Kerri Stephens,Gibbs Ltd,Legal executive,jennifer93@wade.com,0,0.0,0.0,0.0
Derrick Miles,"Nelson, Brady and Gutierrez",Barrister's clerk,jennifer93@wade.com,0,1.0,0.0,1.0
Rhonda Cain,Martin-Johnson,Electrical engineer,jennifer93@wade.com,51-200 employees,0.0,1.0,1.0
Jacob Ramirez,Rodriguez-Hanson,Higher education careers adviser,jennifer93@wade.com,0,0.0,0.0,0.0
Eric Ellis,Reed Inc,"Embryologist, clinical",jennifer93@wade.com,2-10 employees,0.0,0.0,0.0
Jerry Thomas,Thompson Inc,Medical physicist,jennifer93@wade.com,0,1.0,1.0,2.0
Christopher Stone,Sharp-Warren,Insurance claims handler,jennifer93@wade.com,"5,001-10,000 employees",0.0,0.0,0.0
Karen Johnson,"Hobbs, Singleton and Hernandez",Film/video editor,jennifer93@wade.com,11-50 Employyees,0.0,1.0,1.0
Alex Jenkins,Nguyen Group,Barrister's clerk,jennifer93@wade.com,0,0.0,1.0,1.0
Andres Love MD,Perez-Jones,Product/process development scientist,jennifer93@wade.com,0,1.0,1.0,2.0
Barry Chavez,"Velazquez, Bush and Vasquez","Education officer, museum",jennifer93@wade.com,0,1.0,0.0,1.0
Laura Weber,Pena-Osborne,Clothing/textile technologist,jennifer93@wade.com,201-500 employees,0.0,0.0,0.0
Carol Graham,Johnson-Fox,"Embryologist, clinical",jennifer93@wade.com,51-200 employees,0.0,1.0,1.0
Joshua Andrade,Gray and Sons,Contracting civil engineer,jennifer93@wade.com,0,1.0,1.0,2.0
Miranda Burns,Mason-Roth,Social researcher,jennifer93@wade.com,0,1.0,1.0,2.0
Catherine Trevino,"Potter, Foster and Carter",Higher education careers adviser,jennifer93@wade.com,2-10 employees,0.0,1.0,1.0
David Smith,Grant-Lam,Audiological scientist,jennifer93@wade.com,2-10 employees,0.0,1.0,1.0
Suzanne Baker,Perez LLC,"Designer, jewellery",jennifer93@wade.com,0,0.0,1.0,1.0
Jonathan Rogers,Craig Ltd,Multimedia programmer,jennifer93@wade.com,51-200 employees,0.0,1.0,1.0
Angela Elliott DDS,Bennett LLC,Private music teacher,jennifer93@wade.com,0,1.0,1.0,2.0
Curtis Stevens,Lutz Ltd,Higher education careers adviser,jennifer93@wade.com,0,1.0,1.0,2.0
Kathleen Adams,"Santos, Hurst and Anderson","Journalist, newspaper",jennifer93@wade.com,0,1.0,1.0,2.0
Sandra Clements,"Reeves, Edwards and Johns",Phytotherapist,jennifer93@wade.com,0,1.0,1.0,2.0
Samuel Nielsen,Howard-Shea,"Administrator, arts",jennifer93@wade.com,0,1.0,1.0,2.0
Sharon Burton,Horn PLC,Trading standards officer,jennifer93@wade.com,11-50 employees,0.0,1.0,1.0
Charles Nelson,"Klein, Estrada and Murphy",Clothing/textile technologist,jennifer93@wade.com,"10,001+ employees",0.0,1.0,1.0
Amy Lawson,Johnson Group,"Education officer, community",jennifer93@wade.com,0,1.0,0.0,1.0
Carol Sanchez,Duffy Ltd,Astronomer,jennifer93@wade.com,0,1.0,1.0,2.0
Ronald Sampson,Allen Inc,Private music teacher,jennifer93@wade.com,51-200 employees,0.0,1.0,1.0
Katherine Ballard,"Mcguire, Baker and Mcdaniel","Editor, film/video",jennifer93@wade.com,0,1.0,0.0,1.0
Kelly Brown,Powell Ltd,Barrister's clerk,jennifer93@wade.com,0,1.0,0.0,1.0
Kimberly Shannon,Munoz-Smith,Interpreter,jennifer93@wade.com,0,1.0,1.0,2.0
Charles Rosario,Jones-Oconnor,"Scientist, research (life sciences)",jennifer93@wade.com,0,1.0,1.0,2.0
Robyn Stone,"Johnson, Guerrero and Miller",Editorial assistant,jennifer93@wade.com,0,1.0,1.0,2.0
Angela Wright,Craig Ltd,Neurosurgeon,jennifer93@wade.com,11-50 employees,0.0,1.0,1.0
Dale Hamilton,"Mcdowell, Mullins and Barnes",Office manager,jennifer93@wade.com,0,1.0,0.0,1.0
James Sutton Jr.,Woodard-Martinez,Retail banker,jennifer93@wade.com,-,0.0,1.0,1.0
Samuel Duran,Pham Ltd,Astronomer,jennifer93@wade.com,0,1.0,1.0,2.0
John Yu,Patterson-Welch,Print production planner,jennifer93@wade.com,2-10 employees,0.0,1.0,1.0
Michael Pace,Spears-Smith,Retail manager,jennifer93@wade.com,0,0.0,1.0,1.0
Jacqueline Nguyen,"Stewart, Howell and Carney",Radiation protection practitioner,jennifer93@wade.com,0,1.0,1.0,2.0
Jose Anderson,Cox PLC,"Therapist, occupational",jennifer93@wade.com,0,0.0,0.0,0.0
Michelle Taylor,Cox-Brown,Editorial assistant,jennifer93@wade.com,0,1.0,1.0,2.0
Beverly Lozano,Weiss-Hayden,Office manager,jennifer93@wade.com,0,0.0,1.0,1.0
Alexandra Atkinson,Davis-Miller,Neurosurgeon,jennifer93@wade.com,51-200 employees,0.0,1.0,1.0
Frederick Jones,Jordan and Sons,Editorial assistant,jennifer93@wade.com,11-50 employees,0.0,1.0,1.0
Justin Thompson,"Swanson, Roberts and Wilson",Research scientist (medical),jennifer93@wade.com,"1,001-5,000 employees",0.0,1.0,1.0
Ronald Glass,Smith-Crawford,Tax adviser,jennifer93@wade.com,201-500,0.0,1.0,1.0
William Holt,"Miller, Smith and Berger",Medical physicist,jennifer93@wade.com,1,0.0,1.0,1.0
Shawn White,Sullivan-Johnson,Purchasing manager,jennifer93@wade.com,0,0.0,1.0,1.0
Scott Choi DDS,Clark-Smith,Sales promotion account executive,jennifer93@wade.com,0,0.0,0.0,0.0
Cheryl Mcdaniel,Allen Group,"Designer, exhibition/display",jennifer93@wade.com,0,1.0,0.0,1.0
Mary Kelley,"Werner, Carpenter and Lopez","Surveyor, hydrographic",jennifer93@wade.com,0,1.0,0.0,1.0
Amber Petersen,Davis-Harvey,Speech and language therapist,jennifer93@wade.com,51-200 employees,0.0,1.0,1.0
Hayden Gutierrez,"Martin, Herrera and Miller",Facilities manager,jennifer93@wade.com,0,0.0,1.0,1.0
Randy Porter,Johnson-Campbell,"Investment banker, operational",jennifer93@wade.com,51-200 employees,0.0,1.0,1.0
Amy Luna,Hall Group,"Psychologist, forensic",jennifer93@wade.com,0,1.0,0.0,1.0
Randall Bray,Gonzalez-West,Electrical engineer,jennifer93@wade.com,0,1.0,0.0,1.0
Nicholas Dalton,Rogers-Burke,Warden/ranger,jennifer93@wade.com,0,0.0,1.0,1.0
Janet Zimmerman,"Smith, Mcclure and Hamilton",Chiropractor,jennifer93@wade.com,0,1.0,1.0,2.0
Bradley Smith,"Oliver, Floyd and Henry","Teacher, secondary school",jennifer93@wade.com,11-50 employees,0.0,1.0,1.0
Joseph Brown,"Adams, Hendrix and Williams",Astronomer,jennifer93@wade.com,0,0.0,0.0,0.0
Timothy Salinas,Meyers and Sons,Drilling engineer,jennifer93@wade.com,11-50 employees,0.0,1.0,1.0
William Brown,"Williams, Adkins and Johnson",Astronomer,jennifer93@wade.com,0,0.0,0.0,0.0
Dana Nichols,Rodgers LLC,Interior and spatial designer,jennifer93@wade.com,0,1.0,1.0,2.0
Holly Vance,"Martin, Ware and Harmon",Bonds trader,jennifer93@wade.com,"501-1,000 employees",0.0,1.0,1.0
Kyle Johnson,Stephens-Hoffman,"Clinical scientist, histocompatibility and immunogenetics",jennifer93@wade.com,0,1.0,1.0,2.0
Justin Ritter,Evans Group,"Surveyor, hydrographic",jennifer93@wade.com,2-10 employees,0.0,1.0,1.0
Paul Russell,Dunn PLC,"Engineer, broadcasting (operations)",jennifer93@wade.com,"10,001+ employees",0.0,1.0,1.0
Joseph Carroll,Villegas PLC,"Lecturer, higher education",jennifer93@wade.com,0,0.0,0.0,0.0
Leslie Ramirez,Martin-Bright,Ergonomist,jennifer93@wade.com,0,1.0,0.0,1.0
Jeffrey Johnson,"Armstrong, Perez and Underwood",Rural practice surveyor,jennifer93@wade.com,0,0.0,0.0,0.0
Tasha Gay,Thomas Group,Neurosurgeon,jennifer93@wade.com,0,1.0,1.0,2.0
Janet Yoder DVM,Smith LLC,Astronomer,jennifer93@wade.com,0,1.0,1.0,2.0
Carol Sullivan,Walls Ltd,Hospital pharmacist,jennifer93@wade.com,0,1.0,0.0,1.0
Gary Dunn,Castro and Sons,Research scientist (physical sciences),jennifer93@wade.com,11-50 employees,0.0,0.0,0.0
Melanie Yang,"Ortiz, Simmons and Welch",Horticultural therapist,jennifer93@wade.com,0,1.0,1.0,2.0
Amy Valdez,Fisher-Padilla,"Therapist, music",jennifer93@wade.com,51-200 employees,0.0,1.0,1.0
Jason Aguilar,Garcia LLC,Medical laboratory scientific officer,jennifer93@wade.com,0,1.0,0.0,1.0
Terri Davis,"Smith, Payne and Herrera",Astronomer,jennifer93@wade.com,0,0.0,0.0,0.0
Stephanie Meadows,Yang and Sons,Hospital pharmacist,jennifer93@wade.com,0,1.0,0.0,1.0
Douglas Simpson,Hurley-Turner,Banker,jennifer93@wade.com,0,0.0,1.0,1.0
Keith Hill,Moore PLC,"Civil engineer, consulting",jennifer93@wade.com,0,1.0,0.0,1.0
Debra Knox,"Taylor, Smith and Reynolds","Pilot, airline",jennifer93@wade.com,0,1.0,1.0,2.0
Michael Reed,Grant LLC,Legal executive,jennifer93@wade.com,0,0.0,1.0,1.0
Alicia Scott,Joseph-Rodriguez,Newspaper journalist,jennifer93@wade.com,0,1.0,1.0,2.0
Leonard Walker,Griffin Inc,Chief Financial Officer,jennifer93@wade.com,0,0.0,1.0,1.0
Robert Mccann,"Mason, Barber and Brown",Astronomer,jennifer93@wade.com,0-1 employees,0.0,1.0,1.0
Tammy Lewis,Adams Inc,Tax adviser,jennifer93@wade.com,0,0.0,1.0,1.0
Eileen Martinez,"Rogers, Hunter and Chase","Engineer, agricultural",jennifer93@wade.com,0,1.0,1.0,2.0
Michelle Gonzales,Vazquez Ltd,Neurosurgeon,jennifer93@wade.com,0,0.0,1.0,1.0
Melanie Smith,Jackson-Patel,Research scientist (medical),jennifer93@wade.com,0,0.0,1.0,1.0
Miss Michelle Townsend,Clark-Stevens,Comptroller,jennifer93@wade.com,0,0.0,1.0,1.0
Anthony Rogers,Joseph-Rodriguez,Editorial assistant,jennifer93@wade.com,51-200 employees,0.0,0.0,0.0
David Oconnor,Quinn and Sons,Tax adviser,jennifer93@wade.com,0,1.0,1.0,2.0
Sandra Dean,"Taylor, Roth and Wilson",Advertising account executive,jennifer93@wade.com,0,1.0,0.0,1.0
Anthony Watson,"Farrell, Moran and Nguyen",Emergency planning/management officer,jennifer93@wade.com,0,0.0,1.0,1.0
Amanda Lopez MD,"Clarke, Mckinney and Mann",Barrister's clerk,jennifer93@wade.com,2-10 employees,0.0,1.0,1.0
Alan Davidson,Lopez-Watkins,IT technical support officer,jennifer93@wade.com,0,1.0,1.0,2.0
Christopher James,Thomas LLC,Lawyer,jennifer93@wade.com,0,0.0,1.0,1.0
Wendy Miller,Wilson and Sons,Barrister's clerk,jennifer93@wade.com,0,0.0,0.0,0.0
Amy Harris,Lynn LLC,General practice doctor,jennifer93@wade.com,0,1.0,1.0,2.0
Patricia Little,Rodriguez-Trevino,Legal secretary,jonesbethany@yahoo.com,0,1.0,0.0,1.0
Brenda Price,Smith LLC,"Designer, interior/spatial",jennifer93@wade.com,0,1.0,1.0,2.0
Barbara Bartlett,"Daniels, Johnson and Martin",Communications engineer,jennifer93@wade.com,0,1.0,1.0,2.0
James Marshall,Thompson-Davis,Building control surveyor,jennifer93@wade.com,0,0.0,1.0,1.0
Jimmy King,Wilkins-Mcmahon,Newspaper journalist,jennifer93@wade.com,2-10 employees,0.0,1.0,1.0
Jonathan Smith,Johnson-Cortez,Event organiser,jennifer93@wade.com,0,0.0,0.0,0.0
Kyle Miller,Newman Group,Editorial assistant,jennifer93@wade.com,0,0.0,0.0,0.0
Dr. Erik Becker,"Scott, Anderson and Jackson",Pensions consultant,jennifer93@wade.com,0,1.0,1.0,2.0
Jimmy Drake,Fischer Ltd,Fish farm manager,jennifer93@wade.com,0,1.0,0.0,1.0
Patricia Barker,"Tate, Gates and Diaz",Exhibition designer,jennifer93@wade.com,"501-1,000 employees",0.0,0.0,0.0
Dr. Lisa Robertson,Cook Group,"Radiographer, diagnostic",jennifer93@wade.com,0,1.0,1.0,2.0
Bryan Walker,Butler PLC,Community development worker,jennifer93@wade.com,0,1.0,0.0,1.0
Megan Mitchell,"Hawkins, Cuevas and Moses",Astronomer,jennifer93@wade.com,0,1.0,1.0,2.0
Lisa Montgomery,"Ross, Shannon and Cobb",Lawyer,jennifer93@wade.com,0,0.0,1.0,1.0
James Rodriguez,"Page, Orr and Rodriguez",Barrister's clerk,jennifer93@wade.com,0,1.0,1.0,2.0
Amy Armstrong,Romero PLC,Editorial assistant,jennifer93@wade.com,0,1.0,0.0,1.0
Samantha Gilbert,Estrada-Bradshaw,Tax adviser,jennifer93@wade.com,0,1.0,1.0,2.0
Rodney Hurst,Sharp-Warren,Media buyer,jennifer93@wade.com,"5,001-10,000 employees",0.0,1.0,1.0
Emily Rojas,Burton-Durham,"Engineer, maintenance",jennifer93@wade.com,11-50 employees,0.0,1.0,1.0
Karen Carter,"Richards, Allen and Lewis",Legal executive,jennifer93@wade.com,0,0.0,0.0,0.0
Benjamin White,Johnson Ltd,Barrister's clerk,jennifer93@wade.com,0,1.0,0.0,1.0
Joseph Rubio,Tyler-Mills,Naval architect,jennifer93@wade.com,0,0.0,1.0,1.0
Renee Gallegos,"Burnett, Williams and Fry",Sports development officer,jennifer93@wade.com,51-200 employees,0.0,1.0,1.0
Erica King,Joseph-Rodriguez,Editorial assistant,jennifer93@wade.com,0,1.0,0.0,1.0
Sabrina Trujillo,Hudson Ltd,Legal executive,jennifer93@wade.com,0,1.0,1.0,2.0
Jerry Collins,"Mcmillan, Riddle and Smith",Sports development officer,jennifer93@wade.com,0,0.0,1.0,1.0
Ryan Nguyen,Anderson Inc,"Scientist, audiological",jennifer93@wade.com,0,1.0,1.0,2.0
Megan Chambers,Banks-Wang,"Administrator, arts",jennifer93@wade.com,0,1.0,1.0,2.0
Mrs. Maria Williams,Peterson PLC,Editorial assistant,patrick85@reed-stewart.org,0,0.0,1.0,1.0
